GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
TX,AR,20230403,294294.76081436407
TX,AR,20230410,710890.0337109318
TX,AR,20230530,1989651.045438303
TX,AR,20230517,1656242.0298011287
TX,AR,20230630,0.0
TX,AR,20230615,1241503.595360469
TX,AR,20230727,0.0
TX,AR,20230710,0.0
TX,AR,20230803,0.0
TX,AR,20230831,0.0
TX,AR,20230906,0.0
TX,AR,20230912,1018473.6066505273
TX,AR,20231005,0.0
TX,AR,20231020,600955.7792323846
TX,AR,20231129,0.0
TX,AR,20231121,0.0
TX,AR,20231228,393806.73950449657
TX,AR,20231218,0.0
NJ,PA,20230103,0.0
NJ,PA,20230130,0.0
NJ,PA,20230213,0.0
NJ,PA,20230216,0.0
NJ,PA,20230306,0.0
NJ,PA,20230315,0.0
NJ,PA,20230403,0.0
NJ,PA,20230410,0.0
NJ,PA,20230530,0.0
NJ,PA,20230517,0.0
NJ,PA,20230630,0.0
NJ,PA,20230615,0.0
NJ,PA,20230727,0.0
NJ,PA,20230710,0.0
NJ,PA,20230803,0.0
NJ,PA,20230831,0.0
NJ,PA,20230906,0.0
NJ,PA,20230912,0.0
NJ,PA,20231005,0.0
NJ,PA,20231020,0.0
NJ,PA,20231129,0.0
NJ,PA,20231121,0.0
NJ,PA,20231228,0.0
NJ,PA,20231218,0.0
MA,CT,20230103,0.0
MA,CT,20230130,0.0
MA,CT,20230213,0.0
MA,CT,20230216,0.0
MA,CT,20230306,0.0
MA,CT,20230315,0.0
MA,CT,20230403,0.0
MA,CT,20230410,0.0
MA,CT,20230530,0.0
MA,CT,20230517,0.0
MA,CT,20230630,0.0
MA,CT,20230615,0.0
MA,CT,20230727,0.0
MA,CT,20230710,0.0
MA,CT,20230803,0.0
MA,CT,20230831,0.0
MA,CT,20230906,0.0
MA,CT,20230912,0.0
MA,CT,20231005,0.0
MA,CT,20231020,0.0
MA,CT,20231129,0.0
MA,CT,20231121,0.0
MA,CT,20231228,0.0
MA,CT,20231218,0.0
MN,SD,20230103,0.0
MN,SD,20230130,0.0
MN,SD,20230213,0.0
MN,SD,20230216,0.0
MN,SD,20230306,0.0
MN,SD,20230315,0.0
MN,SD,20230403,0.0
MN,SD,20230410,0.0
MN,SD,20230530,0.0
MN,SD,20230517,0.0
MN,SD,20230630,0.0
MN,SD,20230615,0.0
MN,SD,20230727,0.0
MN,SD,20230710,0.0
MN,SD,20230803,0.0
MN,SD,20230831,0.0
MN,SD,20230906,0.0
MN,SD,20230912,0.0
MN,SD,20231005,0.0
MN,SD,20231020,0.0
MN,SD,20231129,0.0
MN,SD,20231121,0.0
MN,SD,20231228,0.0
MN,SD,20231218,0.0
DC,VA,20230103,0.0
DC,VA,20230130,0.0
DC,VA,20230213,0.0
DC,VA,20230216,0.0
DC,VA,20230306,0.0
DC,VA,20230315,0.0
DC,VA,20230403,0.0
DC,VA,20230410,0.0
DC,VA,20230530,0.0
