load_zone,period,timepoint_label,Coal,Uranium,Naturalgas,Distillate,Hydrogen,Waste_biomass,Fuel,Electricity,Heat,Solar,Water,Wind,Batteries,Conventional Hydroelectric,Geothermal,Hydroelectric Pumped Storage,Offshore Wind Turbine,Onshore Wind Turbine,Small Hydroelectric,Solar Photovoltaic,distributed_generation,curtail_Electricity,curtail_Heat,curtail_Solar,curtail_Water,curtail_Wind,UnservedLoad,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
BASN,2023,202300,0.0004021492770606419,0,8084.896176164682,5.030058872414677e-05,0,28.633058956731695,0,0.00035435418995843237,461.9394358750124,0.0,618.4422028410225,31.251966354207603,0.00035435418995843237,416.323802848079,461.9394358750124,0,0,31.251966354207603,202.11839999294352,0.0,0.0,935.79964564581,6.412498760255403e-05,0.0,2073.2761971589766,0.0,2.2661121540848897e-06,9225.163646995712,0.0,2014.0124785511164,11181,58.17612781201859,0.0,0.0,170.43396525812446,peak
BASN,2023,202300,1.2989926007713462e-05,0,8084.89945758469,1.6951126865079273e-06,0,28.633195063968863,0,1.2180683332764935e-05,461.9394977810968,0.0,220.42711860937797,64.08673187966956,1.2180683332764935e-05,18.308718616434454,461.9394977810968,0,0,64.08673187966956,202.11839999294352,0.0,0.0,935.7999878193166,2.218903205175593e-06,0.0,2471.2912813906214,0.0,7.699949490381684e-08,8859.986027784526,0.0,2086.7325983728047,10876,70.71862624171689,0.0,0.0,167.67276950354926,typical
BASN,2023,202301,0.0002745471297738254,0,6894.842038543261,4.50951794236162e-05,0,28.6330315798819,0,0.00043028988275972116,461.9395,0.0,202.12526621973743,499.6591984784107,0.00043028988275972116,0.006866226793916667,461.9395,0,0,499.6591984784107,202.11839999294352,0.0,0.0,935.7995697101172,0.0,0.0,2489.5931337802617,7.520178985487291e-05,2.254351447735725e-06,8087.199784753483,0.0,2093.811761598185,10181,0.011548604549285532,0.0,0.0,145.39397834914584,peak
BASN,2023,202301,9.40346408093939e-06,0,4907.319459431764,1.5427977468720697e-06,0,28.63319423400886,0,1.5267233003882523e-05,461.93949745174643,0.0,488.2467387991959,520.6320493108533,1.5267233003882523e-05,286.1283388062524,461.93949745174643,0,0,520.6320493108533,202.11839999294352,0.0,0.0,935.7999847327669,2.5482535761511826e-06,0.0,2203.4716612008033,-1.1368683772161603e-13,7.665336844205268e-08,6406.770965441062,0.0,3242.2292275862274,9649,0.00019311562962979063,0.0,0.0,145.97893315993073,typical
BASN,2023,202301,0.00027429105297478273,0,3894.3404259373983,4.5086306571622867e-05,0,28.633031536529472,0,0.0007743858014445672,461.9395,0.0,734.7988842916724,430.2729166962924,0.0007743858014445672,532.6804842987289,461.9395,0,0,430.2729166962924,202.11839999294352,0.0,0.0,935.7992256141985,0.0,0.0,1956.9195157083268,7.523548100607513e-05,2.2542833095658558e-06,5549.985852225053,0.0,3713.015179650675,9263,0.0010341270955159057,0.0,0.0,145.37279962136472,peak
BASN,2023,202301,9.32501259203071e-06,0,2486.006369136834,1.5385858793203977e-06,0,28.633194204359498,0,2.9190665690845932e-05,461.9395,0.0,847.8299797815426,476.35724195253687,2.9190665690845932e-05,645.7115797885991,461.9395,0,0,476.35724195253687,202.11839999294352,0.0,0.0,935.7999708093342,0.0,0.0,1843.888420218457,2.5598499746593006e-06,7.664202585154866e-08,4300.766325129537,0.0,4685.23370667295,8986,3.188027483740644e-05,0.0,0.0,145.32539434651136,typical
BASN,2023,202301,0.0002568600761106587,0,2207.599577382152,4.410501527526793e-05,0,28.633024171425333,0,0.0007343778628298224,461.9395,0.0,425.52007300073876,509.00734103572626,0.0007343778628298224,223.40167300779524,461.9395,0,0,509.00734103572626,202.11839999294352,0.0,0.0,935.7992656221371,0.0,0.0,2266.1983269992606,7.81311040896071e-05,2.25177551916521e-06,3632.700550932996,0.0,5293.300649568819,8926,0.0012027514304556962,0.0,0.0,139.9306126852074,peak
BASN,2023,202301,9.063730157731776e-06,0,2278.4269071558415,1.5241669485797014e-06,0,28.633194098974762,0,3.259992757519959e-05,461.9395,0.0,1330.1231726089516,406.89763747444516,3.259992757519959e-05,1128.004772616008,461.9395,0,0,406.89763747444516,202.11839999294352,0.0,0.0,935.7999674000724,0.0,0.0,1361.595227391048,2.6007612632383825e-06,7.660603126044263e-08,4506.020454526038,0.0,4402.979575262843,8909,2.9890971050718e-05,0.0,0.0,143.04202853761944,typical
BASN,2023,202301,0.0002673435443284322,0,4674.491838024316,4.4705024288346026e-05,0,28.633028789736418,0,0.0008677079830007818,461.9394236900388,0.0,1110.9454154559198,290.43091035342104,0.0008677079830007818,908.8270154629764,461.9394236900388,0,0,290.43091035342104,202.11839999294352,0.0,0.0,935.7991322920169,7.630996122998113e-05,0.0,1580.7729845440797,-5.684341886080802e-14,2.253326202754135e-06,6566.441796069983,0.0,2523.5591491633313,9090,0.0009474858642116976,0.0,0.0,143.2999164522157,peak
BASN,2023,202301,9.031041507025241e-06,0,7290.020163739333,1.5223198120709857e-06,0,28.63319408498969,0,2.9642349651379002e-05,461.9395,0.0,886.4507912152642,347.64313651547667,2.9642349651379002e-05,684.3323912223207,461.9395,0,0,347.64313651547667,202.11839999294352,0.0,0.0,935.7999703576503,0.0,0.0,1805.2676087847353,2.6061316020786762e-06,7.660271304115188e-08,9014.686825750774,0.0,499.31320670360674,9514,3.252753935156093e-05,0.0,0.0,142.73627712991035,typical
