GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
MISS_ar_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,522,0,.,0,1.62864e+07
MISS_ar_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,0,0,.,0,0
MISS_la_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,3961.4,0,.,0,1.18993e+08
MISS_la_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,433.2,0,.,0,2.22245e+07
MISS_ms_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,725,0,.,0,2.262e+07
MISS_ms_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,59,0,.,0,3.02688e+06
MISS_tx_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,97.6,0,.,0,5.00717e+06
MISS_tx_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,2027.6,0,.,0,5.64849e+07
MISW_ia_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,693.5,0,.,0,6.78728e+06
MISW_ia_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,1190.8,0,.,0,1.16544e+07
MISW_mn_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,954.9,0,.,0,1.57482e+07
MISW_mn_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,1826,0,.,0,1.78711e+07
MISW_wi_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,453.2,0,.,0,7.47417e+06
