load_zone,technology,period,capacity
RMRG,Batteries,2023,240.2
RMRG,Batteries_MWh,2023,363.7
RMRG,Biomass,2023,29.9
RMRG,Conventional Hydroelectric,2023,708.8
RMRG,Conventional Steam Coal,2023,9915.0
RMRG,Geothermal,2023,0.0
RMRG,Hydroelectric Pumped Storage,2023,580.8
RMRG,Hydroelectric Pumped Storage_MWh,2023,9002.4
RMRG,Natural Gas Fired Combined Cycle,2023,3561.5
RMRG,Natural Gas Fired Combustion Turbine,2023,3360.7999999999997
RMRG,Natural Gas Internal Combustion Engine,2023,247.2
RMRG,Natural Gas Steam Turbine,2023,597.0
RMRG,Nuclear,2023,0.0
RMRG,Offshore Wind Turbine,2023,0.0
RMRG,Onshore Wind Turbine,2023,8172.8
RMRG,Petroleum Liquids,2023,21.1
RMRG,Small Hydroelectric,2023,243.30000000000004
RMRG,Solar Photovoltaic,2023,2306.0
RMRG,distributed_generation,2023,756.0
RMRG,hydro,2023,0.0
RMRG,fuel cells,2023,0.0
SPPC,Batteries,2023,2.2
SPPC,Batteries_MWh,2023,3.5
SPPC,Biomass,2023,13.6
SPPC,Conventional Hydroelectric,2023,52.0
SPPC,Conventional Steam Coal,2023,7115.8
SPPC,Geothermal,2023,0.0
SPPC,Hydroelectric Pumped Storage,2023,0.0
SPPC,Hydroelectric Pumped Storage_MWh,2023,0.0
SPPC,Natural Gas Fired Combined Cycle,2023,1872.9999999999998
SPPC,Natural Gas Fired Combustion Turbine,2023,4320.5
SPPC,Natural Gas Internal Combustion Engine,2023,432.79999999999995
SPPC,Natural Gas Steam Turbine,2023,105.1
SPPC,Nuclear,2023,1255.0
SPPC,Offshore Wind Turbine,2023,0.0
SPPC,Onshore Wind Turbine,2023,8379.7
SPPC,Petroleum Liquids,2023,250.60000000000005
SPPC,Small Hydroelectric,2023,21.4
SPPC,Solar Photovoltaic,2023,101.9
SPPC,distributed_generation,2023,137.0
SPPC,hydro,2023,0.0
SPPC,fuel cells,2023,0.0
SPPN,Batteries,2023,4.699999999999999
SPPN,Batteries_MWh,2023,12.7
SPPN,Biomass,2023,19.400000000000002
SPPN,Conventional Hydroelectric,2023,2510.0
SPPN,Conventional Steam Coal,2023,5359.900000000001
SPPN,Geothermal,2023,0.0
SPPN,Hydroelectric Pumped Storage,2023,0.0
SPPN,Hydroelectric Pumped Storage_MWh,2023,0.0
SPPN,Natural Gas Fired Combined Cycle,2023,644.6
SPPN,Natural Gas Fired Combustion Turbine,2023,2074.3
SPPN,Natural Gas Internal Combustion Engine,2023,267.2
SPPN,Natural Gas Steam Turbine,2023,231.2
SPPN,Nuclear,2023,770.0
SPPN,Offshore Wind Turbine,2023,0.0
SPPN,Onshore Wind Turbine,2023,7510.5
SPPN,Petroleum Liquids,2023,59.2
SPPN,Small Hydroelectric,2023,90.6
SPPN,Solar Photovoltaic,2023,125.6
SPPN,distributed_generation,2023,137.0
SPPN,hydro,2023,0.0
SPPN,fuel cells,2023,0.0
SPPS,Batteries,2023,22.0
SPPS,Batteries_MWh,2023,46.2
SPPS,Biomass,2023,178.60000000000002
SPPS,Conventional Hydroelectric,2023,2008.3999999999999
SPPS,Conventional Steam Coal,2023,7716.0
SPPS,Geothermal,2023,0.0
SPPS,Hydroelectric Pumped Storage,2023,474.0
SPPS,Hydroelectric Pumped Storage_MWh,2023,7347.0
SPPS,Natural Gas Fired Combined Cycle,2023,9527.6
SPPS,Natural Gas Fired Combustion Turbine,2023,3954.0
SPPS,Natural Gas Internal Combustion Engine,2023,445.70000000000005
SPPS,Natural Gas Steam Turbine,2023,4447.200000000001
SPPS,Nuclear,2023,0.0
SPPS,Offshore Wind Turbine,2023,0.0
SPPS,Onshore Wind Turbine,2023,19005.000000000004
SPPS,Petroleum Liquids,2023,52.3
SPPS,Small Hydroelectric,2023,87.79999999999998
SPPS,Solar Photovoltaic,2023,334.8
SPPS,distributed_generation,2023,299.0
SPPS,hydro,2023,0.0
SPPS,fuel cells,2023,0.0
SRCA,Batteries,2023,160.8
SRCA,Batteries_MWh,2023,300.70000000000005
SRCA,Biomass,2023,618.0999999999999
SRCA,Conventional Hydroelectric,2023,1772.4
SRCA,Conventional Steam Coal,2023,14118.0
SRCA,Geothermal,2023,0.0
SRCA,Hydroelectric Pumped Storage,2023,2876.0
SRCA,Hydroelectric Pumped Storage_MWh,2023,44578.0
SRCA,Natural Gas Fired Combined Cycle,2023,9673.2
SRCA,Natural Gas Fired Combustion Turbine,2023,9997.7
SRCA,Natural Gas Internal Combustion Engine,2023,0.0
SRCA,Natural Gas Steam Turbine,2023,565.7
SRCA,Nuclear,2023,12106.7
SRCA,Offshore Wind Turbine,2023,0.0
SRCA,Onshore Wind Turbine,2023,0.0
SRCA,Petroleum Liquids,2023,197.8
SRCA,Small Hydroelectric,2023,119.2
SRCA,Solar Photovoltaic,2023,6802.200000000001
SRCA,distributed_generation,2023,1361.0
SRCA,hydro,2023,0.0
SRCA,fuel cells,2023,0.0
SRCE,Batteries,2023,122.3
SRCE,Batteries_MWh,2023,244.6
SRCE,Biomass,2023,234.9
SRCE,Conventional Hydroelectric,2023,4937.3
SRCE,Conventional Steam Coal,2023,11651.3
SRCE,Geothermal,2023,0.0
SRCE,Hydroelectric Pumped Storage,2023,1683.8000000000002
SRCE,Hydroelectric Pumped Storage_MWh,2023,26098.899999999998
SRCE,Natural Gas Fired Combined Cycle,2023,11514.6
SRCE,Natural Gas Fired Combustion Turbine,2023,7716.5
SRCE,Natural Gas Internal Combustion Engine,2023,3.2
SRCE,Natural Gas Steam Turbine,2023,63.8
SRCE,Nuclear,2023,8431.300000000001
SRCE,Offshore Wind Turbine,2023,0.0
SRCE,Onshore Wind Turbine,2023,29.1
SRCE,Petroleum Liquids,2023,69.8
SRCE,Small Hydroelectric,2023,130.3
SRCE,Solar Photovoltaic,2023,1465.2
SRCE,distributed_generation,2023,186.0
SRCE,hydro,2023,0.0
SRCE,fuel cells,2023,0.0
SRSE,Batteries,2023,86.7
SRSE,Batteries_MWh,2023,178.7
SRSE,Biomass,2023,1350.9999999999998
SRSE,Conventional Hydroelectric,2023,3799.1999999999994
SRSE,Conventional Steam Coal,2023,11512.0
SRSE,Geothermal,2023,0.0
SRSE,Hydroelectric Pumped Storage,2023,1896.2
SRSE,Hydroelectric Pumped Storage_MWh,2023,29391.1
SRSE,Natural Gas Fired Combined Cycle,2023,21559.4
SRSE,Natural Gas Fired Combustion Turbine,2023,12531.6
SRSE,Natural Gas Internal Combustion Engine,2023,20.700000000000003
SRSE,Natural Gas Steam Turbine,2023,800.6
SRSE,Nuclear,2023,6966.0
SRSE,Offshore Wind Turbine,2023,0.0
SRSE,Onshore Wind Turbine,2023,0.0
SRSE,Petroleum Liquids,2023,214.09999999999997
SRSE,Small Hydroelectric,2023,94.19999999999999
SRSE,Solar Photovoltaic,2023,5860.299999999999
SRSE,distributed_generation,2023,166.0
SRSE,hydro,2023,0.0
SRSE,fuel cells,2023,0.0
SRSG,Batteries,2023,1585.8
SRSG,Batteries_MWh,2023,3215.6
SRSG,Biomass,2023,95.8
SRSG,Conventional Hydroelectric,2023,2765.5
SRSG,Conventional Steam Coal,2023,4483.0
SRSG,Geothermal,2023,407.7
SRSG,Hydroelectric Pumped Storage,2023,216.3
SRSG,Hydroelectric Pumped Storage_MWh,2023,3352.65
SRSG,Natural Gas Fired Combined Cycle,2023,12413.399999999998
SRSG,Natural Gas Fired Combustion Turbine,2023,3936.2
SRSG,Natural Gas Internal Combustion Engine,2023,197.2
SRSG,Natural Gas Steam Turbine,2023,524.0
SRSG,Nuclear,2023,4003.0
SRSG,Offshore Wind Turbine,2023,0.0
SRSG,Onshore Wind Turbine,2023,4444.1
SRSG,Petroleum Liquids,2023,173.5
SRSG,Small Hydroelectric,2023,218.10000000000002
SRSG,Solar Photovoltaic,2023,6817.000000000001
SRSG,distributed_generation,2023,1435.0
SRSG,hydro,2023,0.0
SRSG,fuel cells,2023,0.0
TRE,Batteries,2023,2405.5
TRE,Batteries_MWh,2023,3770.8999999999996
TRE,Biomass,2023,145.1
TRE,Conventional Hydroelectric,2023,483.0
TRE,Conventional Steam Coal,2023,13634.6
TRE,Geothermal,2023,0.0
TRE,Hydroelectric Pumped Storage,2023,0.0
TRE,Hydroelectric Pumped Storage_MWh,2023,0.0
TRE,Natural Gas Fired Combined Cycle,2023,38201.8
TRE,Natural Gas Fired Combustion Turbine,2023,8732.9
TRE,Natural Gas Internal Combustion Engine,2023,900.1999999999999
TRE,Natural Gas Steam Turbine,2023,4869.2
TRE,Nuclear,2023,5120.0
TRE,Offshore Wind Turbine,2023,0.0
TRE,Onshore Wind Turbine,2023,12327.8
TRE,Petroleum Liquids,2023,131.9
TRE,Small Hydroelectric,2023,56.099999999999994
TRE,Solar Photovoltaic,2023,8532.2
TRE,distributed_generation,2023,1196.0
TRE,hydro,2023,0.0
TRE,fuel cells,2023,0.0
TREW,Batteries,2023,1712.4
TREW,Batteries_MWh,2023,3153.3
TREW,Biomass,2023,0.0
TREW,Conventional Hydroelectric,2023,0.0
TREW,Conventional Steam Coal,2023,0.0
TREW,Geothermal,2023,0.0
TREW,Hydroelectric Pumped Storage,2023,0.0
TREW,Hydroelectric Pumped Storage_MWh,2023,0.0
TREW,Natural Gas Fired Combined Cycle,2023,2127.8999999999996
TREW,Natural Gas Fired Combustion Turbine,2023,1208.0
TREW,Natural Gas Internal Combustion Engine,2023,9.100000000000001
TREW,Natural Gas Steam Turbine,2023,0
TREW,Nuclear,2023,0.0
TREW,Offshore Wind Turbine,2023,0.0
TREW,Onshore Wind Turbine,2023,25634.7
TREW,Petroleum Liquids,2023,54.0
TREW,Small Hydroelectric,2023,0.0
TREW,Solar Photovoltaic,2023,8269.6
TREW,distributed_generation,2023,65.0
TREW,hydro,2023,0.0
TREW,fuel cells,2023,0.0
loadzone,Batteries,2023,0.0
loadzone,Batteries_MWh,2023,0.0
loadzone,Biomass,2023,0.0
loadzone,Conventional Hydroelectric,2023,0.0
loadzone,Conventional Steam Coal,2023,0.0
loadzone,Geothermal,2023,0.0
loadzone,Hydroelectric Pumped Storage,2023,0.0
loadzone,Hydroelectric Pumped Storage_MWh,2023,0.0
loadzone,Natural Gas Fired Combined Cycle,2023,0.0
loadzone,Natural Gas Fired Combustion Turbine,2023,0.0
loadzone,Natural Gas Internal Combustion Engine,2023,0.0
loadzone,Natural Gas Steam Turbine,2023,0.0
loadzone,Nuclear,2023,0.0
loadzone,Offshore Wind Turbine,2023,0.0
loadzone,Onshore Wind Turbine,2023,0.0
loadzone,Petroleum Liquids,2023,0.0
loadzone,Small Hydroelectric,2023,0.0
loadzone,Solar Photovoltaic,2023,0.0
loadzone,distributed_generation,2023,0.0
loadzone,hydro,2023,0.0
loadzone,fuel cells,2023,0.0
