GZ_STORAGE_TYPE_TIMESERIES_1,GZ_STORAGE_TYPE_TIMESERIES_2,GZ_STORAGE_TYPE_TIMESERIES_3,GasStorageQuantity
CO,depleted field,20230530,0.0
CO,depleted field,20230517,0.0
CO,depleted field,20230630,2205089.8228324037
CO,depleted field,20230615,66038992.91407922
CO,depleted field,20230727,66038992.91407922
CO,depleted field,20230710,75658483.0
CO,depleted field,20230803,75658483.0
CO,depleted field,20230831,75658483.0
CO,depleted field,20230906,75658483.0
CO,depleted field,20230912,75658483.0
CO,depleted field,20231005,75658483.0
CO,depleted field,20231020,61249730.009196095
CO,depleted field,20231129,60077818.91292356
CO,depleted field,20231121,6061400.311122751
CO,depleted field,20231228,3326056.737883772
CO,depleted field,20231218,2929521.5435329694
CO,salt cavern,20230103,0.0
CO,salt cavern,20230130,0.0
CO,salt cavern,20230213,0.0
CO,salt cavern,20230216,0.0
CO,salt cavern,20230306,0.0
CO,salt cavern,20230315,0.0
CO,salt cavern,20230403,0.0
CO,salt cavern,20230410,0.0
CO,salt cavern,20230530,0.0
CO,salt cavern,20230517,0.0
CO,salt cavern,20230630,0.0
CO,salt cavern,20230615,0.0
CO,salt cavern,20230727,0.0
CO,salt cavern,20230710,0.0
CO,salt cavern,20230803,0.0
CO,salt cavern,20230831,0.0
CO,salt cavern,20230906,0.0
CO,salt cavern,20230912,0.0
CO,salt cavern,20231005,0.0
CO,salt cavern,20231020,0.0
CO,salt cavern,20231129,0.0
CO,salt cavern,20231121,0.0
CO,salt cavern,20231228,0.0
CO,salt cavern,20231218,0.0
CT,aquifer,20230103,0.0
CT,aquifer,20230130,0.0
CT,aquifer,20230213,0.0
CT,aquifer,20230216,0.0
CT,aquifer,20230306,0.0
CT,aquifer,20230315,0.0
CT,aquifer,20230403,0.0
CT,aquifer,20230410,0.0
CT,aquifer,20230530,0.0
CT,aquifer,20230517,0.0
CT,aquifer,20230630,0.0
CT,aquifer,20230615,0.0
CT,aquifer,20230727,0.0
CT,aquifer,20230710,0.0
CT,aquifer,20230803,0.0
CT,aquifer,20230831,0.0
CT,aquifer,20230906,0.0
CT,aquifer,20230912,0.0
CT,aquifer,20231005,0.0
CT,aquifer,20231020,0.0
CT,aquifer,20231129,0.0
CT,aquifer,20231121,0.0
CT,aquifer,20231228,0.0
CT,aquifer,20231218,0.0
CT,depleted field,20230103,0.0
CT,depleted field,20230130,0.0
CT,depleted field,20230213,0.0
CT,depleted field,20230216,0.0
CT,depleted field,20230306,0.0
CT,depleted field,20230315,0.0
CT,depleted field,20230403,0.0
CT,depleted field,20230410,0.0
CT,depleted field,20230530,0.0
CT,depleted field,20230517,0.0
CT,depleted field,20230630,0.0
CT,depleted field,20230615,0.0
CT,depleted field,20230727,0.0
CT,depleted field,20230710,0.0
CT,depleted field,20230803,0.0
CT,depleted field,20230831,0.0
CT,depleted field,20230906,0.0
CT,depleted field,20230912,0.0
CT,depleted field,20231005,0.0
CT,depleted field,20231020,0.0
CT,depleted field,20231129,0.0
CT,depleted field,20231121,0.0
CT,depleted field,20231228,0.0
CT,depleted field,20231218,0.0
CT,salt cavern,20230103,0.0
CT,salt cavern,20230130,0.0
CT,salt cavern,20230213,0.0
CT,salt cavern,20230216,0.0
CT,salt cavern,20230306,0.0
CT,salt cavern,20230315,0.0
CT,salt cavern,20230403,0.0
CT,salt cavern,20230410,0.0
CT,salt cavern,20230530,0.0
CT,salt cavern,20230517,0.0
