generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,0
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,2195.6
BASN_batteries_1,202318,BASN,0,0,0
BASN_batteries_1,202318,BASN,0,0,0
BASN_batteries_1,202318,BASN,0,0,0
BASN_batteries_1,202318,BASN,0,0,0
BASN_batteries_1,202318,BASN,251.001,0,212.447
BASN_batteries_1,202318,BASN,0,0,0
BASN_batteries_1,202318,BASN,0,0,0
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,2195.6
BASN_batteries_1,202319,BASN,0,0,0
BASN_batteries_1,202319,BASN,0,0,0
BASN_batteries_1,202319,BASN,0,0,0
BASN_batteries_1,202319,BASN,0,0,0
BASN_batteries_1,202319,BASN,0,0,212.447
BASN_batteries_1,202319,BASN,935.8,0,792.061
BASN_batteries_1,202319,BASN,935.8,0,792.061
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,2195.6
BASN_batteries_1,202320,BASN,0,0,0
BASN_batteries_1,202320,BASN,0,0,0
BASN_batteries_1,202320,BASN,0,0,0
BASN_batteries_1,202320,BASN,0,0,0
BASN_batteries_1,202320,BASN,0,0,212.447
BASN_batteries_1,202320,BASN,0,0,792.061
BASN_batteries_1,202320,BASN,143.832,0,913.801
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,2195.6
BASN_batteries_1,202321,BASN,0,0,0
BASN_batteries_1,202321,BASN,0,0,0
BASN_batteries_1,202321,BASN,0,0,0
BASN_batteries_1,202321,BASN,0,0,0
BASN_batteries_1,202321,BASN,0,0,212.447
BASN_batteries_1,202321,BASN,0,0,792.061
BASN_batteries_1,202321,BASN,0,0,913.801
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
BASN_batteries_1,202322,BASN,0,0,2195.6
