generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
CASO_ca_natural_gas_steam_turbine_1,CASO_ca_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,CASO,Naturalgas,2023,0.0,0.0,0.0,1753.8,0.0,53357732.2122,0.0,0.0,,
CASO_conventional_hydroelectric_1,CASO_conventional_hydroelectric_1,Conventional Hydroelectric,CASO,Water,2023,2530.5312884858313,0.0,0.0,1021.9999999999999,0.0,48083056.0,19.001170315017514,0.28265471446710017,,
CASO_conventional_steam_coal_1,CASO_conventional_steam_coal_1,Conventional Steam Coal,CASO,Coal,2023,0.0,0.0,0.0,50.0,0.0,3874533.35,0.0,0.0,,
CASO_distributed_generation_1,CASO_distributed_generation_1,distributed_generation,CASO,Solar,2023,12561.9382933782,0.0,0.0,5574.0,0.0,0.0,0.0,0.25726760839394514,,
CASO_geothermal_1,CASO_geothermal_1,Geothermal,CASO,Heat,2023,207.30737918592,0.0,0.0,44.4,0.0,9284084.4,44.784148236584144,0.533,,
CASO_hydroelectric_pumped_storage_1,CASO_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,CASO,Electricity,2023,0.0,0.0,0.0,1665.0,0.0,78334920.0,0.0,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,CASO_onshore_wind_turbine_1,Onshore Wind Turbine,CASO,Wind,2023,15095.732953928984,0.0,0.0,4089.0,0.0,123896700.0,8.207398764811433,0.42143685449318097,,
CASO_petroleum_liquids_1,CASO_petroleum_liquids_1,Petroleum Liquids,CASO,Distillate,2023,0.0,0.0,0.0,17.2,0.0,412800.0,0.0,0.0,,
CASO_small_hydroelectric_1,CASO_small_hydroelectric_1,Small Hydroelectric,CASO,Water,2023,644.63333844672,0.0,0.0,250.3,0.0,11776114.4,18.267926428340186,0.29400000000000004,,
CASO_solar_photovoltaic_1,CASO_solar_photovoltaic_1,Solar Photovoltaic,CASO,Solar,2023,28794.468127588094,0.0,0.0,12607.4,0.0,284019507.2,9.863683049866088,0.26072276110545106,,
FRCC_batteries_1,FRCC_batteries_1,Batteries,FRCC,Electricity,2023,-46.339680841809276,38302.64244580799,0.0,555.1999999999999,0.0,4150675.1999999997,16.404786621598742,0.0525029175800669,301.69063048052925,255.35094963871995
FRCC_biomass_1,FRCC_biomass_1,Biomass,FRCC,Waste_biomass,2023,966.3061469644798,7303341.858757539,0.0,411.6,0.0,64711752.0,74.5261675970739,0.26799999999999996,,
FRCC_biomass_2,FRCC_biomass_2,Biomass,FRCC,Waste_biomass,2023,967.4799882508803,4038261.4709591744,0.0,412.1,0.0,64790362.0,71.14216759707386,0.26800000000000007,,
FRCC_conventional_hydroelectric_1,FRCC_conventional_hydroelectric_1,Conventional Hydroelectric,FRCC,Water,2023,114.65869114087498,0.0,0.0,43.5,0.0,2046588.0,17.849392659519086,0.30089373192581886,,
FRCC_conventional_steam_coal_1,FRCC_conventional_steam_coal_1,Conventional Steam Coal,FRCC,Coal,2023,0.0,0.0,0.0,4229.0,0.0,257650674.712,0.0,0.0,,
FRCC_conventional_steam_coal_2,FRCC_conventional_steam_coal_2,Conventional Steam Coal,FRCC,Coal,2023,0.0,0.0,0.0,442.0,0.0,33231770.0,0.0,0.0,,
FRCC_distributed_generation_1,FRCC_distributed_generation_1,distributed_generation,FRCC,Solar,2023,2868.9276712521996,0.0,0.0,1322.0,0.0,0.0,0.0,0.24773282898000476,,
FRCC_fl_natural_gas_fired_combined_cycle_1,FRCC_fl_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,2023,216874.81222650202,772941830.7752533,81898005.92896576,34026.2,0.0,409774464.24200004,5.45345161512825,0.727597308092803,,
FRCC_fl_natural_gas_fired_combined_cycle_2,FRCC_fl_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,2023,3780.4327966206874,17204749.65742075,1591679.7788372845,2791.7,0.0,46040716.4,16.729689286886835,0.15458530013402322,,
FRCC_fl_natural_gas_fired_combustion_turbine_1,FRCC_fl_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,2023,1429.831045597186,9722851.110060865,831272.9141562402,7864.4,0.0,72868077.92839998,57.76271909382536,0.020754608517638398,,
FRCC_fl_natural_gas_fired_combustion_turbine_2,FRCC_fl_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,2023,0.0,0.0,0.0,1108.8999999999999,0.0,12830703.7651,0.0,0.0,,
