gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2023,0.0,0.0,0.0,4675.5,0.0,54975100.118499994,0.0,0.0,0.0,0.0
Natural Gas Fired Combustion Turbine,CASO,Naturalgas,2023,1528.4597675379541,10393526.419258088,876834.9264944044,6803.5,0.0,73217511.1778,54.70280564318609,0.025645846609896716,0.0,0.0
Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,2023,1429.831045597186,9722851.110060865,831272.9141562402,8973.3,0.0,85698781.69349998,66.73629943718761,0.018189801213167444,0.0,0.0
Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,50.980081819042596,346664.5563694897,26691.18987974781,1791.8,0.0,19501072.8753,389.3233734327935,0.0032479281535799705,0.0,0.0
Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2023,30787.882652580254,209357602.03754574,19575985.37567749,9201.4,0.0,92197333.3103,9.794598048546648,0.3819630300510139,0.0,0.0
Natural Gas Fired Combustion Turbine,MISE,Naturalgas,2023,19780.158907953053,134505080.57408077,11933388.085875062,4399.2,0.0,43974375.094,9.02315580469473,0.5132766260296169,0.0,0.0
Natural Gas Fired Combustion Turbine,MISS,Naturalgas,2023,8471.152287702078,57603835.55637413,3709930.2474795366,5539.3,0.0,59890110.4391,13.86988947962191,0.1745753898700273,0.0,0.0
Natural Gas Fired Combustion Turbine,MISW,Naturalgas,2023,26961.358959230078,183337240.92276454,17519391.525433898,8117.499999999999,0.0,82142217.4966,9.84666458470481,0.37915335142615264,0.0,0.0
Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,2023,0.0,0.0,0.0,1342.9,0.0,14308853.8052,0.0,0.0,0.0,0.0
Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,2023,6191.278190862569,42100691.697865464,3343629.1071547824,2114.0,0.0,24062708.818600003,10.686549445333126,0.33432646273741506,0.0,0.0
Natural Gas Fired Combustion Turbine,NYUP,Naturalgas,2023,0.0,0.0,0.0,57.6,0.0,772531.2000000001,0.0,0.0,0.0,0.0
Natural Gas Fired Combustion Turbine,PJMC,Naturalgas,2023,17483.790135929954,118889772.9243237,11346256.995532688,8625.699999999999,0.0,79843900.1276,11.366738648018734,0.23138577351690548,0.0,0.0
Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,2023,8385.35684098123,57020426.51867238,4790091.510646483,4560.5,0.0,42063182.0,11.816266188509385,0.2098961664451183,0.0,0.0
Natural Gas Fired Combustion Turbine,PJME,Naturalgas,2023,4888.278541117164,33240294.07959672,2894506.4253011914,5311.5,0.0,56080402.062800005,18.272423592699653,0.10505922112022498,0.0,0.0
Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,2023,33156.74224275891,225465847.2507606,20278995.255509548,11611.099999999999,0.0,110513812.335,10.133072095137305,0.3259822144154656,0.0,0.0
Natural Gas Fired Combustion Turbine,RMRG,Naturalgas,2023,3914.1899857783646,26616491.90329288,2404124.1235313825,3360.8,0.0,35588295.8086,15.892122747721713,0.13295193143632744,0.0,0.0
Natural Gas Fired Combustion Turbine,SPPC,Naturalgas,2023,7429.336699464062,50519489.556355625,5104207.019584296,4320.5,0.0,45202848.7474,12.884372074651141,0.19629599984289975,0.0,0.0
Natural Gas Fired Combustion Turbine,SPPN,Naturalgas,2023,9647.264700694785,65601399.96472455,5559347.917371854,2074.3,0.0,22573526.9793,9.139888836850748,0.5309187281731117,0.0,0.0
Natural Gas Fired Combustion Turbine,SPPS,Naturalgas,2023,8828.507017863061,60033847.72146881,5267705.227050472,3954.0,0.0,40414252.925400004,11.377699586535785,0.25488602209650363,0.0,0.0
Natural Gas Fired Combustion Turbine,SRCA,Naturalgas,2023,15395.213833584685,104687454.06837587,9217867.762000639,9997.7,0.0,94254606.2162,12.922331734722869,0.17578468803687813,0.0,0.0
Natural Gas Fired Combustion Turbine,SRCE,Naturalgas,2023,9855.893819018074,67020077.96932292,6455818.196402836,7716.5,0.0,71796143.86680001,14.084589828703427,0.14580454884303817,0.0,0.0
Natural Gas Fired Combustion Turbine,SRSE,Naturalgas,2023,8209.633917372237,55825510.638131216,4939685.479329912,12531.6,0.0,118015177.483,21.175205846057338,0.07478468787547099,0.0,0.0
Natural Gas Fired Combustion Turbine,SRSG,Naturalgas,2023,3057.1829490859805,20788844.05378467,1691172.3355987868,3936.2000000000003,0.0,41046882.4525,20.226374258947104,0.08866244217275167,0.0,0.0
Natural Gas Fired Combustion Turbine,TRE,Naturalgas,2023,16094.89486259679,109445285.06565818,9502575.145130929,8732.9,0.0,91621848.87280001,12.492603130059686,0.2103899909126409,0.0,0.0
Natural Gas Fired Combustion Turbine,TREW,Naturalgas,2023,550.8922283829156,3746067.1530038263,377449.46984201926,1208.0,0.0,11074944.0,26.90364900682897,0.05205891702444762,0.0,0.0
Natural Gas Internal Combustion Engine,BASN,Naturalgas,2023,294.85927446,1782243.0919551598,142684.38131699193,221.40000000000003,0.0,5313600.0,24.06518534969049,0.15203115465247233,0.0,0.0
Natural Gas Internal Combustion Engine,CANO,Naturalgas,2023,51.84752370139552,309840.80163953966,24803.282942085956,444.40000000000003,0.0,10665600.0,211.68688527633822,0.01331831818856211,0.0,0.0
