timepoint_id,timestamp,timeseries,tp_date
516,202321,20230615,20230615
517,202321,20230727,20230727
518,202321,20230710,20230710
519,202321,20230803,20230803
520,202321,20230831,20230831
521,202321,20230906,20230906
522,202321,20230912,20230912
523,202321,20231005,20231005
524,202321,20231020,20231020
525,202321,20231129,20231129
526,202321,20231121,20231121
527,202321,20231228,20231228
528,202321,20231218,20231218
529,202322,20230103,20230103
530,202322,20230130,20230130
531,202322,20230213,20230213
532,202322,20230216,20230216
533,202322,20230306,20230306
534,202322,20230315,20230315
535,202322,20230403,20230403
536,202322,20230410,20230410
537,202322,20230530,20230530
538,202322,20230517,20230517
539,202322,20230630,20230630
540,202322,20230615,20230615
541,202322,20230727,20230727
542,202322,20230710,20230710
543,202322,20230803,20230803
544,202322,20230831,20230831
545,202322,20230906,20230906
546,202322,20230912,20230912
547,202322,20231005,20231005
548,202322,20231020,20231020
549,202322,20231129,20231129
550,202322,20231121,20231121
551,202322,20231228,20231228
552,202322,20231218,20231218
553,202323,20230103,20230103
554,202323,20230130,20230130
555,202323,20230213,20230213
556,202323,20230216,20230216
557,202323,20230306,20230306
558,202323,20230315,20230315
559,202323,20230403,20230403
560,202323,20230410,20230410
561,202323,20230530,20230530
562,202323,20230517,20230517
563,202323,20230630,20230630
564,202323,20230615,20230615
565,202323,20230727,20230727
566,202323,20230710,20230710
567,202323,20230803,20230803
568,202323,20230831,20230831
569,202323,20230906,20230906
570,202323,20230912,20230912
571,202323,20231005,20231005
572,202323,20231020,20231020
573,202323,20231129,20231129
574,202323,20231121,20231121
575,202323,20231228,20231228
576,202323,20231218,20231218
