GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_amortization_period,gen_can_retire_early,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_load_fraction,gen_ramp_limit_up,gen_ramp_limit_down,gen_min_uptime,gen_min_downtime,gen_startup_om,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,gen_type,state
PJMW_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,PJMW,30.0,30.0,1,True,False,.,0.0,147673.569,PJMW_utilitypv_class1_moderate_0,0.0,0.0,250003.517,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
PJMW_offshorewind_class3_moderate_fixed_0_1,OffShoreWind_Class3_Moderate_fixed_0,Wind,PJMW,30.0,30.0,1,True,False,.,0.0,945762.804,PJMW_offshorewind_class3_moderate_fixed_0_1,0.0,0.0,20283.833,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
RMRG_battery_moderate_0,Battery_*_Moderate,Electricity,RMRG,15.0,15.0,1,False,False,.,0.15,0.0,RMRG_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
RMRG_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,RMRG,40.0,40.0,1,False,False,10.447,2.359,0.0,RMRG_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
RMRG_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,RMRG,500.0,30.0,1,False,False,9.717,6.151,0.0,RMRG_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
RMRG_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,RMRG,30.0,30.0,1,False,False,6.187,1.853,0.0,RMRG_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
RMRG_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,RMRG,30.0,30.0,1,True,False,.,0.0,620951.376,RMRG_landbasedwind_class3_moderate_0,0.0,0.0,280564.796,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
RMRG_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,RMRG,30.0,30.0,1,True,False,.,0.0,265001.457,RMRG_utilitypv_class1_moderate_0,0.0,0.0,400057.482,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
SPPC_battery_moderate_0,Battery_*_Moderate,Electricity,SPPC,15.0,15.0,1,False,False,.,0.15,0.0,SPPC_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
SPPC_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,SPPC,40.0,40.0,1,False,False,10.447,2.359,0.0,SPPC_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
SPPC_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,SPPC,500.0,30.0,1,False,False,9.717,6.151,0.0,SPPC_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
SPPC_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,SPPC,30.0,30.0,1,False,False,6.187,1.853,0.0,SPPC_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
SPPC_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,SPPC,30.0,30.0,1,True,False,.,0.0,89301.129,SPPC_utilitypv_class1_moderate_0,0.0,0.0,60002.8,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
SPPC_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,SPPC,30.0,30.0,1,True,False,.,0.0,397295.981,SPPC_landbasedwind_class3_moderate_0,0.0,0.0,106104.6,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
SPPN_battery_moderate_0,Battery_*_Moderate,Electricity,SPPN,15.0,15.0,1,False,False,.,0.15,0.0,SPPN_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
SPPN_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,SPPN,40.0,40.0,1,False,False,10.447,2.359,0.0,SPPN_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
